thing_id, file_id, file, license, link
2491790,1271,7483
2986069,586,5255
2611073,560,2341
3012819,528,1157
3014169,309,705
3014019,271,538
3068446,299,659
2011196,280,1444
2935413,338,1607
2375983,153,527
3012833,212,496
2687740,292,1535
2620798,292,1327
3234381,37,319
2515044,252,985
3082125,274,991
2563311,91,899
2065860,284,979
2548787,239,924
2850695,143,307
2570772,91,584
3097636,217,445
2904683,116,681
2470512,111,270
2840044,292,720
2483922,66,282
2782159,86,217
2848473,105,385
3056576,88,301
2471462,147,576
2725762,38,212
2113849,47,235
2741121,64,249
3090608,52,235
2399734,122,271
2960198,95,646
2538217,127,614
3221321,18,124
3204321,177,187
2764937,48,240
3165109,121,134
3193286,68,141
2818551,35,162
3174818,70,75
2586479,43,268
2536066,45,141
2375913,64,187
